"","Outcome_M1","Outcome_M2","Outcome_M3","Outcome_M4","Outcome_M5","Outcome_M6","Outcome_M7","Outcome_M8","Outcome_M9","Outcome_M10","Outcome_M11","Outcome_M12","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_8","Quan_9","Cat_467","Cat_469","Cat_470","Cat_494","Cat_501","Quan_27","Cat_513","Quan_10","Quan_11","Quan_13","Quan_14","Quan_16","Cat_110","Cat_349","Cat_403","Cat_498","Quan_7","Cat_220","Cat_4","Quan_18","Cat_359","Cat_388","Quant_24","Quant_25","Date_1","Cat_2","Cat_3","Cat_15","Cat_139","Cat_245","Cat_392","Cat_484","Cat_162","Cat_210","Cat_216","Cat_400","Cat_466","Day_Of_Year_1","Cat_6","Quan_17","Cat_404","Quan_28"
"1",10000,13000,26000,3000,3000,2000,500,500,2000,2000,2000,2000,8300,112,1995334,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,657,0,0,0,16,16,2856,5,387,2,0,0,2,0,0,0,0,1,0,116.625,37,2,0,0
"2",16000,18000,34000,8000,8000,5000,3000,2000,3000,3000,3000,3000,8500,63,2053329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,123,0,0,0,0,0,2490,5,10,12,0,0,0,0,0,0,0,1,0,115.875,60,4,0,0
"3",3000,8000,2000,2000,2000,500,500,3000,3000,2000,2000,2000,6900,44,373675,6,1,6,6,0,0,0,0,0,0,0,1,1,1,1,0,2,0,0,0,4,0,380,0,0,0,0,0,2877,29,38,4,0,0,0,0,0,0,0,0,0,137.625,20,2,0,0
"4",2000,500,500,500,500,500,500,500,500,2000,500,500,7100,65,18386,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,449,0,0,0,8,8,2613,80,275,2,0,0,0,0,0,0,0,0,0,238.875,3,0,0,0
"5",2000,500,500,500,500,500,500,500,500,500,500,500,4600,10,88573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,551,0,0,0,0,0,2513,4,194,4,0,0,0,0,2,0,0,0,0,138.875,2,0,0,0
"6",2000,500,500,500,500,2000,3000,2000,500,500,500,500,5600,46,32724,6,2,6,6,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,2,0,625,0,0,0,0,0,3073,109,368,3,0,0,0,0,0,0,2,1,0,333.625,22,2,0,0
"7",3000,3000,2000,500,500,500,500,500,500,500,2000,500,8200,33,0,3,1,3,3,0,0,0,0,0,0,0,2,1,2,2,4,0,0,0,0,1,0,1359,0,0,0,0,0,3325,53,663,2,0,0,0,0,0,0,0,1,0,220.375,51,4,0,0
"8",2000,2000,2000,2000,500,500,2000,500,500,500,500,500,6200,38,23149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,66,0,0,0,0,0,2733,26,48,2,0,0,0,0,0,0,0,0,0,358.875,10,2,0,0
"9",2000,2000,3000,2000,2000,2000,2000,500,500,500,500,500,5300,6,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,64,64,2470,16,243,3,0,0,0,0,0,0,0,0,0,95.875,16,4,0,0
"10",2000,500,500,500,500,2000,500,500,500,500,500,500,3900,22,396868,9,2,9,9,0,0,0,0,0,0,0,6,2,6,6,0,2,0,0,0,3,0,1044,0,0,0,6,6,3213,197,555,2,0,0,0,0,0,0,0,0,0,108.375,37,3,0,0
"11",29000,19000,10000,6000,3000,3000,3000,5000,2000,500,500,500,7300,82,1566700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,0,2,32,32,1421,17,30,3,0,0,0,0,2,2,2,1,0,142.625,22,2,0,0
"12",3000,500,500,500,500,500,500,500,500,500,500,500,5700,36,176114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,12,0,1779,19,38,4,0,0,0,0,0,0,0,1,0,135.375,2,0,0,0
"13",6000,2000,500,500,500,500,500,2000,500,500,500,2000,4200,36,561128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,0,0,0,0,0,2313,45,220,2,0,0,0,0,0,0,0,0,0,304.125,10,0,0,0
"14",15000,15000,27000,10000,6000,6000,8000,5000,5000,5000,5000,5000,8000,91,883301,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,1,0,0,0,413,16,0,0,46,46,2485,6,75,2,0,0,0,0,0,0,0,1,0,110.875,17,0,0,0
"15",45000,35000,6000,3000,3000,2000,2000,2000,2000,2000,3000,500,8500,122,1178524,124,27,124,124,1,2,0,1,0,0,0,54,21,54,54,24,4,0,0,1,34,0,444,0,0,0,0,0,3339,42,274,7,0,0,0,0,0,0,0,1,0,234.375,2,2,0,0
"16",2000,500,500,2000,500,500,500,500,500,500,500,500,4300,22,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,253,0,0,0,10,10,2079,59,115,1,0,0,0,0,0,0,0,0,0,70.125,10,2,0,0
"17",3000,2000,500,2000,500,500,500,500,500,500,500,500,7400,40,49009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,199,0,0,0,250,250,2261,27,50,3,0,0,0,0,2,0,2,0,0,252.125,26,4,0,0
"18",24000,3000,2000,2000,500,500,500,500,3000,3000,2000,2000,6800,69,503559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,37,0,0,0,36,36,1890,16,29,1,0,0,0,0,0,0,0,0,0,246.375,18,2,0,0
"19",2000,2000,3000,2000,2000,2000,2000,500,500,500,500,500,5500,10,1275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,403,0,0,0,64,64,2484,16,243,3,0,0,0,0,0,0,0,0,0,109.875,16,4,0,0
"20",13000,2000,2000,5000,2000,2000,2000,2000,500,2000,500,2000,7700,103,90686,31,8,31,31,0,0,0,0,0,0,0,19,7,19,19,0,0,0,0,0,14,0,18,0,0,0,4,0,3171,5,131,2,0,0,0,0,0,0,0,1,0,66.375,10,0,0,0
"21",2000,6000,2000,2000,2000,500,500,500,500,500,500,500,5400,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1778,4,9,2,0,0,0,0,0,0,0,0,0,134.375,2,0,0,0
"22",127000,126000,13000,8000,11000,8000,3000,3000,8000,5000,2000,2000,8900,142,1394197,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,206,0,0,0,0,0,2877,28,114,7,0,0,0,0,0,0,0,1,0,137.625,27,0,0,0
"23",5000,2000,2000,500,500,500,500,500,500,500,500,500,5200,21,308925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,2142,28,132,1,0,0,0,0,0,0,0,0,0,133.125,10,0,0,0
"24",2000,2000,3000,2000,2000,500,2000,500,500,500,500,500,6400,35,204611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,96,0,0,0,25,25,2477,31,64,1,0,0,0,0,0,0,2,0,0,102.875,22,2,0,0
"25",3000,500,2000,500,500,500,500,500,500,500,500,500,6900,71,17619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,712,0,0,0,7,0,2842,9,407,2,0,0,0,0,0,0,0,1,0,102.625,1,0,0,0
"26",16000,15000,21000,6000,5000,3000,2000,2000,2000,500,500,2000,8200,107,689611,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,4,2,0,1,0,0,0,14,0,0,0,33,33,1757,5,11,2,0,0,0,0,0,0,0,1,0,113.375,10,4,2,0
"27",2000,3000,2000,2000,2000,2000,500,500,2000,500,500,500,6100,54,365492,26,5,26,26,0,0,0,0,0,0,0,9,4,9,9,8,0,0,0,0,17,0,1000,0,0,2,2,0,3218,28,114,2,0,0,0,0,0,0,0,1,0,113.375,11,2,0,0
"28",18000,6000,2000,2000,2000,2000,2000,500,2000,2000,2000,3000,5600,91,761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,0,0,0,0,0,443,0,0,0,22,22,2569,16,268,2,0,0,0,0,0,0,0,1,0,194.875,10,4,0,0
"29",2000,500,500,500,500,500,500,500,500,500,500,500,5300,5,72774,2,1,2,2,0,0,0,0,0,0,0,2,1,2,2,0,0,0,0,0,0,0,675,0,0,0,18,0,3199,105,392,4,0,0,0,0,0,0,0,0,0,94.375,11,0,0,0
"30",3000,6000,3000,3000,2000,2000,2000,500,500,2000,500,500,7500,78,23013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,8,4,0,0,24,24,1548,3,3,3,0,0,0,0,2,0,0,1,0,269.625,7,4,0,0
"31",266000,248000,68000,60000,45000,23000,10000,10000,19000,8000,10000,8000,9300,120,1808023,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,18,0,0,0,0,0,0,11,24,0,0,0,0,2134,5,7,1,0,0,0,0,0,0,0,1,0,125.125,2,4,0,0
"32",2000,500,500,2000,500,500,500,500,500,500,500,500,3800,57,0,36,7,36,36,0,0,0,0,0,0,0,9,3,9,9,0,2,0,0,0,5,0,1128,0,0,0,0,0,3181,42,147,4,0,0,0,0,0,0,0,1,0,76.375,17,2,0,0
"33",5000,3000,2000,2000,2000,2000,500,500,500,2000,500,500,7100,21,65693,69,17,69,69,0,0,0,0,0,0,0,55,13,55,55,2,0,0,0,0,34,0,5,0,0,0,34,34,3353,3,4,3,0,0,0,0,2,2,2,0,0,248.375,5,2,0,0
"34",11000,3000,2000,2000,3000,2000,2000,500,500,500,500,2000,5900,69,641442,17,2,17,17,1,0,0,0,0,0,0,10,2,10,10,16,0,0,0,0,8,0,632,0,0,2,0,0,2891,121,114,2,0,0,0,0,0,0,0,0,0,151.625,11,0,0,0
"35",3000,2000,2000,500,2000,500,500,500,500,500,500,500,7900,32,58648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,7,0,0,0,109,109,1777,3,5,4,0,0,0,0,2,2,2,0,0,133.375,6,4,0,0
"36",18000,3000,2000,2000,2000,2000,2000,500,500,2000,500,500,8000,74,682260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,0,0,0,0,0,2254,41,210,2,0,0,0,0,0,0,0,1,0,245.125,11,2,0,0
"37",40000,16000,5000,15000,5000,3000,2000,2000,2000,2000,2000,2000,7900,109,669770,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,4,2,0,0,1,0,0,30,0,0,0,0,0,3192,13,362,17,0,0,0,0,0,0,0,1,0,87.375,10,0,0,0
"38",2000,500,500,500,2000,500,500,500,500,500,500,500,6800,30,2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667,0,0,0,0,0,2758,12,21,4,0,0,0,0,0,0,0,0,0,18.625,11,0,0,0
"39",6000,5000,2000,2000,500,500,2000,3000,500,500,2000,500,5800,61,575483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,28,0,0,0,44,44,1967,12,21,2,0,0,0,0,0,0,0,0,0,323.375,10,2,0,0
"40",11000,5000,3000,6000,3000,3000,2000,2000,2000,6000,2000,3000,8800,100,561962,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,36,0,0,0,72,72,1526,16,28,4,0,0,0,0,0,0,0,1,0,247.625,17,2,0,0
"41",16000,8000,2000,2000,2000,500,500,500,500,500,2000,500,8100,60,412632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,50,0,0,0,18,18,1876,18,32,3,0,0,0,0,0,0,2,1,0,232.375,4,4,0,0
"42",6000,3000,5000,2000,2000,2000,2000,2000,500,500,500,500,8500,88,643979,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,87,8,0,0,112,112,2100,7,20,3,0,0,0,0,0,0,0,1,0,91.125,13,2,0,0
"43",6000,24000,13000,5000,3000,2000,2000,2000,500,500,500,500,7600,40,1951543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,39,0,0,2,32,32,1778,17,30,3,0,0,0,0,2,2,2,0,0,134.375,22,2,0,0
"44",6000,10000,3000,2000,2000,500,3000,5000,2000,2000,2000,500,8100,127,29197,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,125,0,0,0,11,11,1602,41,75,3,0,2,0,0,0,2,0,1,0,323.625,38,2,0,0
"45",2000,500,500,500,500,500,500,500,500,500,500,500,5500,53,33,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,0,702,0,0,0,24,24,2933,45,21,3,0,0,0,0,2,0,0,0,0,193.625,66,4,0,0
"46",26000,3000,2000,2000,500,2000,3000,500,500,500,2000,2000,7700,88,385016,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,380,0,0,0,60,60,2345,29,38,4,0,0,0,0,0,0,0,1,0,336.125,20,2,0,0
"47",2000,8000,2000,500,2000,500,500,2000,500,500,500,500,4900,47,445190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,192,0,0,0,0,4,1778,47,120,2,2,0,0,0,0,0,0,1,0,134.375,10,2,0,0
"48",35000,8000,8000,5000,5000,3000,2000,3000,6000,2000,2000,2000,7900,101,1416697,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,139,0,0,0,76,76,2296,42,89,3,0,0,0,0,0,0,0,0,0,287.125,13,2,0,0
"49",73000,23000,3000,3000,2000,3000,2000,2000,2000,2000,2000,500,9200,124,752566,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,32,0,0,0,19,19,2604,13,23,2,0,0,0,0,0,0,0,1,0,229.875,18,2,0,0
"50",15000,3000,3000,2000,3000,2000,500,500,2000,2000,500,500,7300,92,94900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,2,495,8,0,2,55,55,2618,28,113,2,0,0,0,0,0,0,0,1,0,243.875,14,0,0,0
"51",3000,2000,2000,500,500,500,500,500,500,500,500,500,5700,31,67012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,434,0,0,0,0,0,2380,45,21,9,0,0,0,0,2,0,0,0,0,5.875,56,4,0,0
"52",2000,5000,5000,3000,2000,500,500,500,500,500,500,500,6900,30,1183119,53,4,53,53,0,0,0,1,0,0,0,13,1,13,13,0,0,0,0,0,32,0,1009,0,0,0,0,0,3241,17,32,3,0,0,0,0,0,2,0,1,0,136.375,80,2,0,0
"53",11000,2000,2000,2000,500,500,500,500,500,500,500,500,6500,13,109982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,69,0,0,0,0,0,2163,27,50,4,0,0,0,0,0,0,0,1,0,154.125,32,4,0,0
"54",5000,2000,2000,2000,500,500,500,500,500,500,500,500,6800,95,38152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,545,0,0,0,0,0,2653,7,97,1,0,0,0,0,0,0,0,1,0,278.875,10,0,0,0
"55",2000,2000,500,500,500,500,500,500,500,500,500,500,5800,30,195081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,291,0,0,0,2,2,2485,47,240,4,2,0,0,0,0,0,0,0,0,110.875,20,2,0,0
"56",23000,8000,3000,2000,500,2000,2000,2000,2000,500,500,500,6700,68,694809,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,0,0,0,6,3297,44,366,19,0,0,0,0,0,0,0,1,0,192.375,1,0,0,0
"57",31000,3000,2000,2000,500,2000,2000,500,500,2000,500,500,8000,85,233416,57,26,57,57,1,0,0,0,0,0,0,41,22,41,41,0,0,0,0,0,12,0,566,0,0,0,8,0,3353,16,165,1,2,0,0,0,0,0,0,1,0,248.375,1,0,0,0
"58",5000,5000,11000,3000,2000,500,500,500,2000,2000,500,500,7100,83,477063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,19,0,0,2,30,30,2113,5,10,2,0,0,0,0,0,0,0,1,0,104.125,11,2,0,0
"59",32000,10000,2000,2000,2000,3000,2000,500,500,2000,2000,500,6600,97,405694,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,18,3,0,0,1,0,0,730,0,0,0,3,22,2968,45,252,1,0,0,0,0,0,0,0,1,0,228.625,2,0,0,0
"60",19000,5000,5000,19000,6000,6000,5000,3000,3000,2000,500,500,8800,62,28203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,52,0,0,0,30,30,2443,17,32,4,0,0,0,0,2,2,2,1,0,68.875,6,4,0,0
"61",19000,18000,2000,3000,6000,3000,3000,3000,2000,2000,2000,2000,7400,116,850888,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,571,0,2,0,0,0,3157,2,339,17,0,0,0,0,0,0,0,1,0,52.375,11,0,0,0
"62",21000,15000,6000,3000,3000,2000,2000,2000,3000,2000,2000,500,9100,88,262738,13,3,13,13,0,0,0,0,0,0,0,7,2,7,7,8,0,0,0,0,1,0,32,0,0,0,35,35,3038,13,23,2,0,2,0,0,0,0,0,1,0,298.625,18,2,0,0
"63",2000,2000,2000,500,500,500,500,500,500,500,500,500,6000,25,366857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,0,0,0,0,17,2849,5,394,3,0,0,0,0,0,0,0,0,0,109.625,49,4,0,0
"64",3000,6000,2000,2000,2000,500,500,500,500,500,500,500,6500,18,642619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,0,0,20,20,1756,53,107,3,0,0,0,0,0,0,0,0,0,112.375,17,2,0,0
"65",10000,3000,3000,2000,2000,NA,NA,NA,NA,NA,NA,NA,7600,47,300522,22,13,22,22,1,0,0,1,0,0,0,17,10,17,17,16,3,0,0,1,0,0,203,0,0,2,0,0,3570,9,641,2,0,0,0,0,0,0,0,1,0,100.125,14,0,0,0
"66",2000,500,500,500,500,NA,NA,NA,NA,NA,NA,NA,5400,7,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1375,0,0,0,2,0,3570,106,670,4,0,0,0,0,0,0,0,0,0,100.125,34,0,0,0
"67",5000,5000,6000,2000,2000,NA,NA,NA,NA,NA,NA,NA,5600,28,29,4,1,4,4,1,0,0,1,0,0,0,4,1,4,4,8,0,0,0,0,0,0,1536,0,0,0,44,44,3584,9,408,2,2,0,0,0,0,0,0,0,0,114.125,18,2,0,0
"68",2000,2000,2000,500,500,2000,2000,2000,2000,NA,NA,NA,7900,37,0,5,0,5,5,0,0,0,0,0,0,0,3,0,3,3,8,0,0,0,0,0,0,32,0,0,0,39,39,3465,13,23,2,0,2,0,0,0,0,0,1,0,360.375,18,2,0,0
"69",3000,2000,500,500,500,500,500,500,NA,NA,NA,NA,4700,92,90054,23,14,23,23,0,0,0,0,0,0,0,7,3,7,7,12,2,0,0,0,0,0,218,0,0,0,3,0,3486,28,136,1,0,0,0,0,0,0,0,1,0,16.125,2,0,0,0
"70",26000,42000,5000,5000,NA,NA,NA,NA,NA,NA,NA,NA,7300,57,469247,16,6,16,16,1,0,0,0,0,0,0,14,6,14,14,12,0,0,0,0,2,0,497,0,0,0,63,63,3612,53,51,2,0,0,0,0,0,0,0,1,0,142.125,33,4,0,0
"71",3000,2000,2000,2000,500,500,NA,NA,NA,NA,NA,NA,5000,52,14073,11,3,11,11,0,0,0,0,0,0,0,9,3,9,9,0,0,0,0,0,4,0,20,0,0,0,3,0,3556,5,234,2,0,0,0,0,0,0,0,1,0,86.125,10,0,0,0
"72",73000,61000,10000,5000,NA,NA,NA,NA,NA,NA,NA,NA,8000,44,985658,69,31,69,69,1,0,0,1,0,0,0,46,23,46,46,8,0,0,0,0,9,0,206,0,0,0,0,9,3605,28,114,1,0,0,0,0,0,0,0,1,0,135.125,27,0,0,1
"73",18000,6000,5000,3000,2000,2000,2000,5000,15000,2000,3000,NA,6400,39,1759054,187,14,187,187,1,0,0,1,0,0,0,39,10,39,39,0,0,0,0,0,132,0,1138,0,0,2,0,0,3388,28,114,4,0,0,0,0,0,0,0,1,0,283.375,84,4,0,0
"74",2000,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6000,31,53952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1539,0,0,0,0,6,3626,28,116,4,0,0,0,0,0,0,0,0,0,156.125,11,2,0,0
"75",6000,3000,8000,500,500,NA,NA,NA,NA,NA,NA,NA,7000,76,7696,33,3,33,33,1,0,0,0,0,0,0,25,3,25,25,4,2,0,0,0,3,0,278,0,0,0,4,4,3577,42,79,4,0,0,0,0,0,0,0,1,0,107.125,11,4,0,0
"76",5000,2000,2000,500,500,500,2000,500,500,NA,NA,NA,6900,87,16594,6,2,6,6,0,0,0,0,0,0,0,6,2,6,6,4,4,0,0,0,1,0,543,4,0,0,0,0,3444,56,142,1,0,0,0,0,0,0,0,1,0,339.375,42,0,0,0
"77",10000,6000,2000,2000,2000,2000,2000,3000,3000,2000,NA,NA,7300,63,97852,39,12,39,39,0,0,0,0,0,0,0,30,11,30,30,0,2,0,0,0,12,0,1397,0,0,0,90,90,3416,12,542,4,0,0,0,0,0,0,0,0,0,311.375,11,2,0,0
"78",2000,500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,4600,6,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,0,0,0,1473,0,0,0,0,0,3612,178,709,2,0,0,0,0,0,0,0,0,0,142.125,2,4,0,0
"79",2000,500,500,500,NA,NA,NA,NA,NA,NA,NA,NA,0,2,235853,5,2,5,5,0,0,0,0,0,0,0,5,2,5,5,0,0,0,0,0,1,0,898,0,0,0,8,8,3591,16,486,3,0,0,0,0,0,0,0,0,0,121.125,30,2,0,0
"80",84000,35000,6000,3000,2000,2000,3000,5000,2000,500,NA,NA,8700,132,862604,126,63,126,126,1,0,0,0,0,0,0,83,46,83,83,0,0,0,0,0,20,0,656,0,0,0,0,0,3423,41,386,1,0,0,0,0,0,2,0,1,0,318.375,46,0,0,0
"81",5000,2000,3000,3000,2000,2000,NA,NA,NA,NA,NA,NA,8000,87,5758,18,7,18,18,1,0,0,1,0,0,0,12,3,12,12,8,0,0,0,0,5,0,640,0,0,0,140,0,3535,28,86,12,0,0,0,0,0,0,0,1,0,65.125,17,2,0,0
"82",5000,3000,500,500,500,2000,500,500,NA,NA,NA,NA,8200,49,1602,7,5,7,7,1,0,0,1,0,0,0,4,2,4,4,0,3,0,0,0,0,0,1483,0,0,0,0,0,3493,152,714,1,0,0,0,0,0,0,0,0,0,23.125,29,2,0,0
"83",3000,2000,500,500,500,2000,500,500,NA,NA,NA,NA,6300,65,47075,4,2,4,4,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1366,0,0,0,0,0,3486,45,183,2,0,0,0,0,0,0,0,0,0,16.125,10,0,0,0
"84",6000,2000,2000,2000,500,500,2000,3000,2000,500,NA,NA,6300,60,127967,17,7,17,17,0,0,0,0,0,0,0,13,7,13,13,12,0,0,0,0,6,0,264,0,0,0,10,10,3416,53,107,3,0,0,0,0,0,0,0,0,0,311.375,13,2,0,0
