"Outcome_M7","Date_1","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_2","Cat_3","Cat_4","Quan_18","Cat_162","Cat_210","Cat_216","Cat_220","Cat_349","Cat_388","Cat_400","Cat_466","Cat_467","Cat_469","Cat_470","Cat_494","Quan_27","Day_Of_Year_1"
3000,3157,7400,116,850888,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,2,339,571,11.0857142857143,0,0,0,0,0,0,1,0,1,2,0,1,0,52.375
2000,3038,9100,88,262738,13,3,1,13,13,7,2,7,7,13,23,32,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,298.625
500,2849,6000,25,366857,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,5,394,680,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,109.625
500,1756,6500,18,642619,29.7883211678832,8.66058394160584,10.5,29.7883211678832,29.7883211678832,16.0182481751825,6.06204379562044,16.0182481751825,16.0182481751825,53,107,174,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,112.375
NA,3570,7600,47,300522,22,13,0,22,22,17,10,17,17,9,641,203,11.0857142857143,0,0,0,0,0,2,1,0,1,0,0,1,0,100.125
NA,3570,5400,7,440417.6367713,1,1,0,1,1,1,1,1,1,106,670,1375,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,100.125
NA,3584,5600,28,29,4,1,0,4,4,4,1,4,4,9,408,1536,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,114.125
2000,3465,7900,37,440417.6367713,5,0,0,5,5,3,0,3,3,13,23,32,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,360.375
500,3486,4700,92,90054,23,14,0,23,23,7,3,7,7,28,136,218,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,16.125
NA,3612,7300,57,469247,16,6,2,16,16,14,6,14,14,53,51,497,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
NA,3556,5000,52,14073,11,3,4,11,11,9,3,9,9,5,234,20,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,86.125
NA,3605,8000,44,985658,69,31,9,69,69,46,23,46,46,28,114,206,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
2000,3388,6400,39,1759054,187,14,132,187,187,39,10,39,39,28,114,1138,11.0857142857143,0,0,0,0,0,2,1,0,1,0,0,1,0,283.375
NA,3626,6000,31,53952,0,0,0,0,0,0,0,0,0,28,116,1539,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,156.125
NA,3577,7000,76,7696,33,3,3,33,33,25,3,25,25,42,79,278,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,107.125
2000,3444,6900,87,16594,6,2,1,6,6,6,2,6,6,56,142,543,4,0,0,0,0,0,0,1,0,0,0,0,0,0,339.375
2000,3416,7300,63,97852,39,12,12,39,39,30,11,30,30,12,542,1397,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
NA,3612,4600,6,440417.6367713,1,0,0,1,1,1,0,1,1,178,709,1473,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,142.125
NA,3591,6987.22826086957,2,235853,5,2,1,5,5,5,2,5,5,16,486,898,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,121.125
3000,3423,8700,132,862604,126,63,20,126,126,83,46,83,83,41,386,656,11.0857142857143,0,2,0,0,0,0,1,0,1,0,0,0,0,318.375
NA,3535,8000,87,5758,18,7,5,18,18,12,3,12,12,28,86,640,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,65.125
500,3493,8200,49,1602,7,5,0,7,7,4,2,4,4,152,714,1483,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,23.125
500,3486,6300,65,47075,4,2,0,4,4,2,2,2,2,45,183,1366,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,16.125
2000,3416,6300,60,127967,17,7,6,17,17,13,7,13,13,53,107,264,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,311.375
2000,3430,8700,84,28006,15,3,7,15,15,11,3,11,11,56,142,225,8,0,0,0,0,0,0,1,0,1,0,0,1,0,325.375
NA,3563,6100,53,18465,17,8,2,17,17,12,6,12,12,5,131,18,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,93.125
NA,3626,6300,40,53952,0,0,0,0,0,0,0,0,0,28,116,1539,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,156.125
NA,3577,9400,102,1139542,106,43,13,106,106,72,31,72,72,60,336,565,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,107.125
NA,3605,8700,46,284933,11,4,2,11,11,9,3,9,9,28,308,470,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
3000,3451,7100,96,6532,11,5,0,11,11,6,4,6,6,16,399,693,11.0857142857143,0,0,0,0,0,2,1,0,0,0,0,0,0,346.375
NA,3577,7800,19,440417.6367713,1,1,0,1,1,1,1,1,1,144,449,833,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,107.125
NA,3577,8600,16,635758,11,5,2,11,11,6,3,6,6,28,308,1490,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,107.125
500,3416,7000,76,309164,41,16,5,41,41,34,16,34,34,1,423,753,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,311.375
3000,3451,5900,82,33837,13,3,0,13,13,8,3,8,8,5,232,305,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,346.375
NA,3605,8100,79,23277,22,6,2,22,22,17,5,17,17,7,706,243,16,0,0,0,0,0,0,1,0,0,0,0,0,0,135.125
NA,3570,7000,44,65248,4,2,0,4,4,4,2,4,4,13,362,30,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
NA,3601,7700,36,241220,18,1,5,18,18,12,1,12,12,60,542,763,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,131.125
NA,3601,9300,33,1729826,66,30,2,66,66,41,20,41,41,1,1,1,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,131.125
2000,3395,9400,97,169441,64,29,11,64,64,47,27,47,47,81,553,273,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,290.375
NA,3535,5700,78,167598,4,1,0,4,4,2,1,2,2,45,658,1347,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,65.125
2000,3521,8900,111,105605,38,22,2,38,38,24,13,24,24,49,370,628,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,51.125
2000,3500,6300,23,39964,8,2,2,8,8,4,2,4,4,12,722,1503,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,30.125
NA,3591,4700,10,440417.6367713,0,0,0,0,0,0,0,0,0,27,50,1130,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,121.125
2000,3458,7000,91,93023,25,9,0,25,25,15,5,15,15,49,345,1105,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,353.375
NA,3563,3500,3,135717,7,2,0,7,7,2,1,2,2,59,545,1543,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,93.125
500,3514,7400,64,9596,1,0,0,1,1,1,0,1,1,85,586,1084,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,44.125
NA,3577,6300,13,440417.6367713,4,0,1,4,4,2,0,2,2,28,700,1515,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,107.125
3000,3430,4900,25,23286,14,2,1,14,14,5,2,5,5,53,403,371,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,325.375
2000,3481,8200,28,171279,102,27,53,102,102,37,21,37,37,17,30,51,11.0857142857143,2,2,2,0,0,0,1,0,0,0,0,0,0,11.125
NA,3556,7800,53,440417.6367713,4,2,0,4,4,3,1,3,3,27,583,199,11.0857142857143,2,0,2,0,0,0,0,0,1,0,0,1,0,86.125
NA,3601,9500,105,1729826,62,28,2,62,62,41,20,41,41,1,1,1,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,131.125
NA,3570,8000,32,346384,14,1,2,14,14,11,1,11,11,60,206,1083,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
2000,3458,7400,80,132449,33,17,4,33,33,19,10,19,19,60,236,193,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,353.375
NA,3682,8300,3,275,13,8,1,13,13,13,8,13,13,9,67,432,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,212.125
NA,3535,7200,76,44828,19,10,3,19,19,15,8,15,15,53,111,686,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,65.125
NA,3575,7700,22,621939,39,7,8,39,39,23,7,23,23,5,265,1471,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,1,0,105.125
5000,3451,4900,116,382119,68,32,12,68,68,42,21,42,42,2,254,535,11.0857142857143,0,0,0,0,2,0,1,0,1,0,0,1,0,346.375
NA,3542,7800,73,17777,10,1,0,10,10,8,1,8,8,7,272,1466,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,72.125
NA,3575,8000,43,621939,41,8,9,41,41,25,8,25,25,5,265,1471,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,1,0,105.125
2000,3395,9400,112,169441,58,27,11,58,58,44,25,44,44,81,553,273,2,0,0,0,0,0,0,0,0,0,0,0,0,0,290.375
500,3514,7600,63,9596,1,0,0,1,1,1,0,1,1,85,586,1084,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,44.125
NA,3563,8100,69,671633,50,36,4,50,50,30,25,30,30,1,13,623,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,93.125
2000,3465,5400,25,489,7,3,1,7,7,5,3,5,5,187,540,1004,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,360.375
2000,3416,7400,72,97852,41,13,9,41,41,28,12,28,28,12,542,1397,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,311.375
NA,3549,8400,77,5293,1,1,0,1,1,1,1,1,1,56,142,1010,11.0857142857143,2,0,0,0,0,0,1,0,0,0,0,0,0,79.125
2000,3451,8300,107,3247,28,6,4,28,28,12,4,12,12,28,72,1132,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,346.375
500,3528,7800,49,1043453,97,45,14,97,97,66,34,66,66,17,30,39,11.0857142857143,2,2,2,0,0,2,0,0,1,0,0,1,0,58.125
NA,3605,8800,60,284933,12,4,2,12,12,10,3,10,10,28,308,470,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
NA,3605,8300,80,987149,41,15,4,41,41,24,11,24,24,53,109,176,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
NA,3591,7700,53,467004,13,6,1,13,13,9,4,9,9,45,100,156,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,121.125
NA,3605,8000,86,985658,63,30,8,63,63,45,22,45,45,28,114,206,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,135.125
NA,3563,8900,51,357567,51,21,12,51,51,31,16,31,31,3,4,6,11.0857142857143,2,0,2,0,0,0,1,0,0,0,0,0,0,93.125
NA,3682,6987.22826086957,62.2247644683715,440417.6367713,0,0,0,0,0,0,0,0,0,27,252,1133,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,212.125
NA,3584,6600,35,444809,20,1,7,20,20,12,1,12,12,12,21,1540,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,114.125
NA,3605,6400,50,597696,28,15,6,28,28,23,13,23,23,16,733,40,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,135.125
500,3458,7000,87,93023,26,9,0,26,26,16,5,16,16,49,345,1105,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,353.375
2000,3416,6800,115,309164,42,18,5,42,42,35,17,35,35,1,423,753,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,311.375
NA,3542,6100,57,10916,3,1,0,3,3,3,1,3,3,42,348,590,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,72.125
500,3388,6400,13,1759054,50,11,11,50,50,25,7,25,25,28,114,1138,11.0857142857143,0,0,0,0,0,2,1,0,0,0,0,0,0,283.375
NA,3556,4700,70,14073,12,3,4,12,12,9,3,9,9,5,234,20,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,86.125
500,3409,7700,101,5935,39,4,6,39,39,10,3,10,10,42,78,128,11.0857142857143,0,0,0,0,0,0,1,0,0,2,0,0,0,304.375
2000,3444,7200,108,81138,28,12,3,28,28,21,11,21,21,53,109,582,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,339.375
NA,3612,7200,30,469247,14,6,2,14,14,13,6,13,13,53,51,497,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
500,3479,4600,38,6661,9,3,0,9,9,6,2,6,6,16,243,244,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
NA,3584,7500,54,18582,3,0,0,3,3,2,0,2,2,45,742,1542,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,114.125
2000,3430,3000,7,23286,2,2,0,2,2,2,2,2,2,53,403,371,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,325.375
3000,3451,5100,86,382119,66,32,9,66,66,42,21,42,42,2,254,535,11.0857142857143,0,0,0,0,2,0,1,0,1,0,0,1,0,346.375
NA,3598,8700,44,4692569,143,68,7,143,143,100,45,100,100,5,551,11,18,0,0,0,0,0,0,1,0,1,0,0,1,0,128.125
2000,3444,6000,12,216245,11,3,3,11,11,8,3,8,8,60,251,1230,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,339.375
500,3479,4400,42,6661,12,3,1,12,12,6,2,6,6,16,243,244,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,9.125
NA,3556,9000,64,233160,27,14,6,27,27,19,13,19,19,17,32,48,11.0857142857143,2,2,2,0,0,0,0,0,1,0,0,0,0,86.125
8000,3444,8300,125,58238,196,24,123,196,196,171,14,171,171,42,323,536,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,339.375
500,3388,6200,20,8229,2,1,0,2,2,2,1,2,2,53,21,1470,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,283.375
2000,3458,7500,97,132449,36,19,5,36,36,21,11,21,21,60,236,193,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,353.375
NA,3535,7200,75,225894,36,13,3,36,36,21,11,21,21,102,136,533,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,65.125
NA,3612,7800,23,440417.6367713,2,1,0,2,2,2,1,2,2,58,300,644,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,142.125
2000,3444,7200,92,81138,27,11,4,27,27,20,10,20,20,53,109,582,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,339.375
NA,3584,8500,41,1480378,101,58,8,101,101,57,35,57,57,16,35,46,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,114.125
NA,3563,5800,61,18465,16,8,2,16,16,12,6,12,12,5,131,18,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,93.125
NA,3570,7100,63,65248,2,2,0,2,2,2,2,2,2,13,362,30,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,100.125
NA,3612,7100,73,440417.6367713,2,1,0,2,2,2,1,2,2,58,300,644,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,0,0,142.125
2000,3451,7000,89,6532,11,5,0,11,11,6,4,6,6,16,399,693,11.0857142857143,0,0,0,0,0,2,1,0,0,0,0,0,0,346.375
3000,3481,8300,37,171279,131,28,79,131,131,103,22,103,103,17,30,51,11.0857142857143,2,2,2,0,0,0,1,0,0,0,0,0,0,11.125
NA,3682,6987.22826086957,62.2247644683715,275,17,10,1,17,17,17,10,17,17,9,67,432,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,212.125
NA,3584,8400,64,1480378,95,50,10,95,95,56,29,56,56,16,35,46,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,114.125
3000,3430,8700,114,28006,11,3,3,11,11,9,3,9,9,56,142,225,8,0,0,0,0,0,0,1,0,1,0,0,1,0,325.375
500,3472,6800,58,15055,2,1,0,2,2,1,0,1,1,15,329,34,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,2.125
500,3451,5200,9,2,3,0,0,3,3,1,0,1,1,82,270,854,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,346.375
2000,3395,8600,85,243024,91,36,21,91,91,66,33,66,66,60,185,104,11.0857142857143,0,0,0,0,0,0,1,0,1,0,0,1,0,290.375
500,3528,5200,81,670,1,0,0,1,1,1,0,1,1,56,541,1008,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,58.125
500,3493,8100,56,1602,12,5,0,12,12,4,2,4,4,152,714,1483,11.0857142857143,0,0,0,0,0,0,0,0,1,0,0,1,0,23.125
500,3472,6500,45,15055,4,1,0,4,4,1,0,1,1,15,329,34,11.0857142857143,0,0,0,0,0,0,1,0,0,0,0,0,0,2.125
13000,3451,4500,6,144409,13,0,7,13,13,4,0,4,4,5,499,1491,11.0857142857143,0,0,0,0,0,0,0,0,0,0,0,0,0,346.375
