"Outcome_M2","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_10","Quan_11","Cat_4","Quan_16","Quan_18","Cat_110","Cat_349","Cat_404","Cat_466","Cat_467","Cat_469","Cat_484","Cat_494","Cat_498"
3000,8300,76,538046,0,0,0,0,0,"183",16,16,"0","0","0","0","1","2","0","0","0"
8000,7600,50,557614,0,0,0,0,0,"446",4,0,"0","0","0","0","0","0","0","0","0"
15000,8000,66,1119115,0,0,0,0,0,"11",16,0,"0","0","0","0","0","2","0","0","0"
2000,7600,81,58666,0,0,0,0,0,"543",8,8,"2","0","0","0","0","0","0","0","0"
6000,6900,98,428382,58,29,13,38,26,"687",32,0,"0","0","0","0","1","0","0","1","0"
3000,6000,81,62984,9,1,3,7,0,"589",0,0,"0","0","0","0","0","0","0","0","0"
2000,6900,112,414785,0,0,0,0,0,"501",0,0,"0","0","0","0","0","0","0","0","0"
500,4700,10,42767,0,0,0,0,0,"248",0,0,"0","0","0","0","0","0","0","0","0"
500,4800,10,0,0,0,0,0,0,"33",16,0,"0","0","0","0","0","0","0","0","0"
10000,5100,78,508995,0,0,0,0,0,"41",0,0,"0","0","0","0","0","0","0","0","0"
3000,4300,53,1698,4,2,0,3,1,"909",4,0,"3","0","0","0","0","0","0","0","0"
2000,6500,54,37635,0,0,0,0,0,"155",6,0,"2","0","0","0","0","0","0","0","0"
2000,6900,45,216645,0,0,0,0,0,"266",14,0,"0","0","0","0","0","0","0","0","0"
6000,7000,58,670326,0,0,0,0,0,"264",6,0,"0","0","0","0","0","0","0","0","0"
2000,6100,42,77366,0,0,0,0,0,"226",0,0,"2","0","0","0","0","0","0","0","0"
6000,8800,99,332670,0,0,0,0,0,"384",0,0,"0","0","0","0","0","2","0","0","0"
500,7100,35,149470,0,0,0,0,0,"366",0,0,"0","0","0","0","0","0","0","0","0"
5000,6400,96,746269,0,0,0,0,0,"18",0,0,"0","0","0","0","0","2","0","0","0"
500,4600,3,38595,0,0,0,0,0,"395",0,0,"0","0","0","0","0","0","0","0","0"
2000,7300,85,0,0,0,0,0,0,"586",0,0,"0","0","0","0","0","0","0","0","0"
500,6400,29,0,0,0,0,0,0,"182",2,0,"0","0","0","0","0","0","0","0","0"
2000,6800,21,0,0,0,0,0,0,"329",0,0,"0","0","0","0","0","0","0","0","0"
500,5700,13,13798,0,0,0,0,0,"222",0,0,"0","0","0","0","0","0","0","0","0"
11000,7600,55,0,14,5,8,7,1,"1354",4,0,"0","0","0","0","0","0","0","0","0"
2000,7100,58,327817,0,0,0,0,0,"546",0,0,"0","0","0","0","0","2","0","0","0"
2000,8000,79,143718,0,0,0,0,0,"572",12,0,"0","0","0","0","1","0","0","0","0"
11000,7900,61,652377,0,0,0,0,0,"51",2,0,"0","0","0","0","0","0","0","0","0"
2000,7200,61,606019,0,0,0,0,0,"431",2,0,"2","0","0","0","0","2","0","0","0"
500,6900,39,73049,4,1,1,3,1,"1388",0,0,"0","0","0","0","0","0","0","0","0"
6000,0,1,224077,80,6,67,4,1,"1166",8,0,"3","0","0","0","0","0","0","1","0"
15000,7200,105,856200,0,0,0,0,0,"399",0,0,"0","0","0","0","1","2","0","1","0"
18000,8200,101,743429,0,0,0,0,0,"189",16,16,"2","0","0","0","1","2","0","1","0"
40000,8400,63,1649272,0,0,0,0,0,"39",2,0,"0","0","0","0","0","0","0","0","0"
6000,8200,50,743429,0,0,0,0,0,"189",14,14,"2","0","0","0","1","2","0","1","0"
5000,7800,106,343410,0,0,0,0,0,"389",4,0,"0","0","0","0","1","0","0","1","0"
3000,8900,37,0,12,5,5,5,4,"1168",0,0,"3","0","0","0","0","0","0","0","0"
500,6600,9,0,1,0,0,1,0,"677",8,0,"0","0","0","0","0","0","0","0","0"
2000,5500,52,0,40,11,5,19,9,"1152",0,0,"2","0","0","0","0","0","0","0","0"
2000,7900,53,58806,0,0,0,0,0,"158",0,0,"0","0","0","0","0","2","0","0","0"
19000,6500,79,529465,0,0,0,0,0,"252",8,8,"2","0","0","0","0","0","0","0","0"
2000,6700,66,503559,0,0,0,0,0,"37",2,0,"0","0","0","0","0","0","0","0","0"
2000,6900,29,396498,0,0,0,0,0,"251",8,0,"0","0","0","0","0","0","0","0","0"
15000,8600,92,1172663,36,13,17,7,5,"48",22,0,"0","0","0","0","1","2","0","0","0"
10000,8100,44,438659,0,0,0,0,0,"51",2,0,"0","0","0","0","0","0","0","0","0"
29000,7300,100,872255,76,33,26,37,24,"260",24,0,"0","0","0","0","1","2","0","0","0"
13000,8500,84,169907,60,20,24,45,16,"754",12,0,"0","0","0","0","1","0","0","1","1"
500,5300,10,176797,3,0,0,3,0,"1234",0,0,"4","0","0","0","0","0","0","0","0"
500,6300,73,35887,0,0,0,0,0,"387",12,0,"0","0","0","0","0","0","0","0","0"
2000,6100,70,215765,0,0,0,0,0,"18",0,0,"2","0","0","0","0","0","0","0","0"
2000,8100,96,0,0,0,0,0,0,"140",50,0,"0","0","0","0","0","0","0","0","0"
500,7600,63,4538,7,2,2,2,1,"655",4,0,"3","0","0","0","0","0","0","0","0"
2000,4700,55,13632,1,0,0,1,0,"85",2,0,"3","0","0","0","0","0","0","0","0"
2000,4000,7,98168,0,0,0,0,0,"222",0,0,"0","0","0","0","0","0","0","0","0"
500,7300,6,119498,0,0,0,0,0,"202",14,0,"0","0","0","0","0","0","0","0","0"
2000,7600,51,384726,0,0,0,0,0,"380",0,0,"2","0","0","0","0","0","0","0","0"
500,6200,89,1564,0,0,0,0,0,"644",8,0,"0","0","0","0","0","0","0","0","0"
6000,6000,42,55669,35,16,10,18,10,"1362",16,0,"0","0","0","0","0","0","0","0","0"
18000,9000,82,802286,0,0,0,0,0,"48",20,0,"0","0","0","0","1","2","0","1","0"
2000,4300,48,108948,0,0,0,0,0,"672",0,0,"2","0","0","0","0","0","0","0","0"
16000,8300,110,870647,0,0,0,0,0,"40",4,0,"0","0","0","0","1","2","0","0","0"
2000,5600,60,331563,0,0,0,0,0,"360",2,0,"0","0","0","0","0","0","0","0","0"
3000,6400,24,0,27,3,3,6,0,"285",0,0,"0","0","0","0","0","0","0","0","0"
15000,8400,144,1173440,0,0,0,0,0,"30",0,0,"0","0","0","0","0","2","0","0","0"
500,6400,4,0,0,0,0,0,0,"739",0,0,"2","0","0","0","0","0","0","0","0"
26000,7800,43,697011,0,0,0,0,0,"5",2,0,"0","0","0","0","0","0","0","0","0"
5000,7700,90,75621,0,0,0,0,0,"217",0,0,"0","0","0","0","0","0","0","0","0"
35000,8600,121,1399606,0,0,0,0,0,"129",40,0,"2","0","0","0","0","2","0","0","0"
13000,8900,44,907439,0,0,0,0,0,"127",2,0,"0","0","0","0","0","0","0","0","0"
3000,8600,95,395580,0,0,0,0,0,"478",0,0,"0","0","0","0","1","0","0","0","0"
2000,7900,72,58648,0,0,0,0,0,"7",8,0,"0","0","0","0","0","0","0","0","0"
5000,7500,87,1575180,0,0,0,0,0,"19",8,0,"3","0","0","0","0","0","0","0","0"
6000,7300,49,788296,0,0,0,0,0,"49",4,0,"0","0","0","0","0","2","0","0","0"
500,6400,26,150368,0,0,0,0,0,"660",0,0,"2","0","0","0","0","0","0","0","0"
3000,0,1,174848,0,0,0,0,0,"323",0,0,"2","0","0","0","1","0","0","0","0"
500,6800,35,73049,4,1,1,4,1,"1388",0,0,"0","0","0","0","0","0","0","0","0"
2000,6200,7,0,3,0,1,0,0,"69",0,0,"0","0","0","0","0","0","0","0","0"
3000,7800,77,466603,0,0,0,0,0,"193",16,0,"0","0","0","0","0","0","0","0","0"
5000,8000,67,275695,0,0,0,0,0,"224",8,0,"0","0","0","0","0","0","0","0","0"
8000,8300,90,372875,0,0,0,0,0,"311",32,0,"0","0","0","0","0","2","0","0","0"
2000,8600,96,248407,0,0,0,0,0,"225",8,0,"0","0","0","0","0","0","0","0","0"
18000,8500,134,420774,0,0,0,0,0,"172",16,0,"0","0","0","0","0","2","0","0","0"
500,5000,71,50584,0,0,0,0,0,"631",4,4,"2","0","0","0","0","0","0","0","0"
500,7500,46,8412,0,0,0,0,0,"348",4,0,"0","0","0","0","0","0","0","0","0"
3000,5200,41,769,35,0,24,7,0,"1125",0,0,"0","0","0","0","0","0","0","0","0"
500,7800,76,14,11,5,3,7,2,"637",0,0,"0","0","0","0","1","0","0","0","0"
2000,4400,5,334360,1,0,0,0,0,"1131",0,0,"2","0","0","0","0","0","0","0","0"
500,4400,12,25831,2,0,0,2,0,"377",0,0,"0","0","0","0","0","0","0","0","0"
500,2900,37,233505,0,0,0,0,0,"447",8,0,"0","0","0","0","0","0","0","0","0"
500,7200,60,47363,0,0,0,0,0,"7",8,0,"0","0","0","0","0","0","0","0","0"
11000,7700,88,557614,0,0,0,0,0,"446",4,0,"0","0","0","0","1","0","0","0","0"
2000,7100,56,111812,0,0,0,0,0,"559",2,0,"2","0","0","0","0","0","0","0","0"
2000,8300,64,14306,8,4,3,2,2,"1010",12,12,"0","0","0","0","0","0","0","0","0"
500,5500,10,384334,0,0,0,0,0,"277",0,0,"0","0","0","0","0","0","0","0","0"
37000,4200,37,0,58,1,42,6,0,"1179",0,0,"0","0","0","0","0","2","0","0","0"
6000,8800,68,16504,23,9,14,6,3,"52",12,0,"0","0","0","0","0","0","0","0","0"
3000,7500,57,777132,0,0,0,0,0,"295",8,8,"0","0","0","0","0","0","0","0","0"
5000,7700,88,0,23,7,5,13,5,"305",10,0,"4","0","0","0","0","0","0","0","0"
500,7900,37,0,0,0,0,0,0,"198",14,0,"0","0","0","0","0","0","0","0","0"
3000,8300,53,503093,0,0,0,0,0,"398",16,0,"0","0","0","0","0","0","0","0","0"
18000,8400,95,336930,0,0,0,0,0,"432",2,0,"0","0","0","0","1","2","0","1","0"
32000,7600,84,820707,0,0,0,0,0,"40",8,0,"0","0","2","0","1","2","0","0","0"
500,4300,18,0,5,1,2,2,0,"1146",4,0,"0","0","0","0","0","0","0","0","0"
2000,7800,84,1879,9,4,3,6,3,"587",12,0,"0","0","0","0","1","0","0","1","0"
56000,8800,110,527439,0,0,0,0,0,"189",16,16,"2","0","0","0","1","2","0","1","0"
23000,5700,8,227165,9,1,6,2,0,"382",0,0,"0","0","0","0","0","0","0","0","0"
2000,6300,53,241413,0,0,0,0,0,"244",0,0,"0","0","0","0","0","0","0","0","0"
16000,7500,98,850888,0,0,0,0,0,"571",0,0,"0","0","0","0","1","2","0","1","1"
8000,8400,113,538046,0,0,0,0,0,"183",16,16,"0","0","0","0","1","2","0","1","0"
5000,6800,46,75598,0,0,0,0,0,"201",4,0,"0","0","0","0","0","0","0","0","0"
3000,3800,39,450556,11,1,2,11,1,"244",0,0,"0","0","0","0","0","0","0","0","0"
8000,7400,109,250974,0,0,0,0,0,"16",8,8,"0","0","0","0","0","0","0","1","0"
3000,7500,82,0,0,0,0,0,0,"126",12,0,"0","0","0","0","0","2","0","0","0"
11000,7200,127,941734,25,7,11,10,4,"643",0,0,"0","0","0","0","1","0","0","0","0"
3000,7900,75,208574,27,6,14,12,6,"286",6,0,"2","0","0","0","0","0","0","0","0"
500,7700,70,155555,2,0,2,0,0,"701",8,0,"0","0","0","0","0","0","0","0","0"
8000,7200,80,242444,6,0,2,2,0,"664",0,0,"2","0","0","0","0","0","0","0","0"
24000,8500,58,1238684,0,0,0,0,0,"39",2,0,"0","0","0","2","1","0","0","0","0"
10000,8600,129,780782,0,0,0,0,0,"278",0,0,"0","0","0","0","1","0","0","0","0"
3000,5500,68,761,0,0,0,0,0,"443",16,0,"2","0","0","0","0","0","0","0","0"
500,6300,10,221857,0,0,0,0,0,"174",0,0,"0","0","0","0","0","0","0","0","0"
2000,7700,27,466940,0,0,0,0,0,"213",4,0,"0","0","0","0","0","0","0","0","0"
181000,9300,114,3220430,0,0,0,0,0,"11",18,18,"3","0","0","0","1","2","0","1","1"
6000,8000,30,539483,0,0,0,0,0,"51",2,0,"0","0","0","0","0","0","0","0","0"
3000,7200,101,324749,0,0,0,0,0,"355",10,10,"0","0","0","0","0","0","0","0","0"
3000,6700,62,570116,0,0,0,0,0,"340",16,0,"3","0","0","0","0","0","0","0","0"
19000,8800,125,348241,85,25,42,39,20,"384",8,0,"0","0","0","0","1","2","0","1","0"
2000,8600,34,15804,0,0,0,0,0,"52",6,0,"0","0","0","0","0","0","0","0","0"
500,6300,12,97941,0,0,0,0,0,"453",0,0,"0","0","0","0","0","0","0","0","0"
3000,6100,98,641442,0,0,0,0,0,"632",16,0,"0","0","0","0","1","0","0","0","0"
8000,8000,43,1164838,0,0,0,0,0,"44",4,0,"0","0","0","0","0","0","0","0","0"
15000,7200,55,495179,0,0,0,0,0,"281",0,0,"0","0","0","0","0","0","0","0","0"
8000,7900,44,11049,0,0,0,0,0,"265",4,0,"0","0","0","0","0","0","0","0","0"
3000,5700,12,407303,19,3,9,8,2,"19",4,0,"0","0","0","0","0","0","0","0","0"
500,6400,10,190084,2,1,0,2,1,"680",0,0,"0","0","0","0","0","0","0","0","0"
8000,7600,87,371070,0,0,0,0,0,"46",24,0,"0","0","0","0","0","2","0","0","0"
3000,6900,22,416229,0,0,0,0,0,"202",16,16,"0","0","0","0","0","0","0","0","0"
2000,6900,68,664806,0,0,0,0,0,"378",0,0,"0","0","0","0","1","0","0","0","0"
3000,7900,67,90029,0,0,0,0,0,"52",2,0,"0","0","0","0","0","0","0","0","0"
500,7000,45,0,0,0,0,0,0,"7",12,0,"0","0","0","0","0","0","0","0","0"
2000,6700,56,0,0,0,0,0,0,"901",0,0,"0","0","0","0","0","0","0","0","0"
2000,5600,6,0,0,0,0,0,0,"890",0,0,"0","0","0","0","0","0","0","0","0"
6000,4300,11,88573,0,0,0,0,0,"551",14,14,"0","0","0","0","0","0","0","0","0"
19000,6100,81,779035,51,26,11,25,18,"399",0,0,"0","0","0","0","1","0","0","1","1"
2000,7200,33,49009,0,0,0,0,0,"199",2,0,"0","0","0","0","0","0","0","0","0"
500,3100,5,47068,0,0,0,0,0,"425",8,8,"0","0","0","0","0","0","0","0","0"
2000,8000,47,139621,0,0,0,0,0,"228",0,0,"2","0","0","0","0","0","0","0","0"
2000,7300,40,304225,0,0,0,0,0,"204",32,0,"0","0","0","0","0","0","0","0","0"
16000,8900,53,676207,32,4,10,10,3,"127",2,0,"0","0","0","0","0","0","0","0","0"
8000,7700,49,253625,0,0,0,0,0,"265",2,0,"0","0","0","0","0","2","0","0","0"
5000,6000,65,48178,0,0,0,0,0,"66",0,0,"4","0","0","0","0","0","0","0","0"
3000,7900,76,145077,64,4,48,44,3,"44",24,0,"0","0","0","0","0","0","0","0","0"
2000,3600,33,76996,0,0,0,0,0,"441",0,0,"0","0","0","0","0","0","0","0","0"
35000,9100,131,582649,0,0,0,0,0,"565",0,0,"0","0","0","0","1","0","2","1","0"
2000,3600,8,334360,1,0,0,0,0,"1131",0,0,"2","0","0","0","0","0","0","0","0"
6000,7600,52,257699,38,12,4,28,10,"79",0,0,"2","0","0","0","0","0","0","0","0"
2000,8500,47,0,2,1,0,1,1,"671",6,0,"0","0","0","0","1","0","0","0","0"
3000,6200,68,148496,0,0,0,0,0,"48",4,0,"0","0","0","0","0","0","0","0","0"
3000,6800,98,214006,0,0,0,0,0,"18",0,0,"0","0","0","0","0","0","0","0","0"
2000,7000,89,39995,0,0,0,0,0,"182",2,0,"0","0","0","0","0","0","0","0","0"
500,0,0,0,4,2,1,3,2,"279",0,0,"2","0","0","0","0","0","0","0","0"
2000,3500,4,11675,0,0,0,0,0,"10",0,0,"0","0","0","0","0","0","0","0","0"
10000,7400,112,941734,22,7,9,11,4,"643",0,0,"0","0","0","0","1","2","0","0","0"
2000,7800,28,245463,0,0,0,0,0,"213",2,0,"0","0","0","0","0","0","0","0","0"
39000,8000,86,1951543,0,0,0,0,0,"39",2,0,"0","0","0","0","1","0","0","0","0"
3000,8900,136,395580,0,0,0,0,0,"478",0,0,"0","0","0","0","1","0","0","0","0"
68000,8900,118,1394197,0,0,0,0,0,"206",0,0,"0","0","0","0","1","2","0","1","1"
2000,8500,94,755977,0,0,0,0,0,"582",16,16,"0","0","0","0","1","0","0","0","0"
6000,8400,81,212135,0,0,0,0,0,"433",4,4,"0","0","0","0","0","0","0","0","0"
8000,8300,94,172979,95,20,61,58,16,"1054",4,0,"3","0","0","0","1","0","0","0","0"
500,6400,5,150368,0,0,0,0,0,"660",0,0,"2","0","0","0","0","0","0","0","0"
500,6200,5,407303,21,3,11,8,2,"19",4,0,"0","0","0","0","0","0","0","0","0"
5000,7100,62,136366,0,0,0,0,0,"404",0,0,"0","0","0","0","0","0","0","0","0"
500,5600,64,166518,0,0,0,0,0,"375",8,2,"0","0","0","0","0","0","0","0","0"
500,5900,17,283838,7,0,4,2,0,"1081",10,0,"2","0","0","0","0","0","0","0","0"
8000,8000,61,13671,0,0,0,0,0,"49",10,0,"0","0","0","0","0","2","0","0","0"
5000,8300,135,488430,0,0,0,0,0,"562",0,0,"0","0","0","0","0","2","0","0","0"
21000,7400,92,872255,73,33,22,37,23,"260",24,0,"0","0","0","0","1","2","0","0","0"
2000,4900,21,49935,0,0,0,0,0,"287",12,12,"0","0","0","0","0","0","0","0","0"
2000,7300,55,477063,0,0,0,0,0,"19",8,0,"0","0","0","0","0","0","0","0","0"
2000,6700,18,471617,0,0,0,0,0,"186",0,0,"0","0","0","0","0","0","0","0","0"
26000,8800,74,696622,313,26,273,288,19,"6",10,10,"0","0","0","0","0","0","0","0","0"
5000,6400,39,5633,40,1,29,6,0,"1126",4,0,"0","0","0","0","0","0","0","0","0"
500,6100,45,9772,1,1,0,1,1,"895",0,0,"3","0","0","0","0","0","0","0","0"
2000,7100,106,37215,0,0,0,0,0,"460",8,8,"0","0","0","0","0","0","0","0","0"
2000,6500,4,0,0,0,0,0,0,"718",0,0,"0","0","0","0","0","0","0","0","0"
6000,8200,102,447992,0,0,0,0,0,"56",0,0,"0","0","0","0","1","2","0","0","0"
31000,8500,154,401293,0,0,0,0,0,"536",0,0,"0","0","0","0","1","2","0","1","0"
5000,8300,106,793103,0,0,0,0,0,"128",12,0,"0","0","0","0","1","2","0","0","0"
2000,8200,50,412632,0,0,0,0,0,"50",4,0,"0","0","0","0","0","0","0","0","0"
500,4500,43,56051,0,0,0,0,0,"757",0,0,"0","0","0","0","0","0","0","0","0"
