"Outcome_M10","Quan_2","Quan_3","Quan_4","Quan_5","Quan_6","Quan_7","Quan_8","Quan_9","Quan_10","Quan_11","Quan_13","Quan_14","Cat_494_0","Cat_494_1","Cat_349_0","Cat_349_2","Cat_498_0","Cat_498_1","Cat_220_0","Cat_220_2"
500,6800,76,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7000,120,316575,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8500,86,10057,25,12,6,25,25,17,9,17,17,1,0,1,0,1,0,1,0
500,5600,16,32760,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8700,92,1516735,54,20,22,54,54,29,10,29,29,1,0,1,0,1,0,1,0
500,4200,6,128209,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,82,62984,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9300,80,0,19,11,4,19,19,6,4,6,6,1,0,1,0,1,0,1,0
500,0,1,86725,5,3,0,5,5,3,2,3,3,1,0,1,0,1,0,1,0
500,7900,81,1106,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,99,303842,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5600,21,384334,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,145,1003761,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,7400,49,589158,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,98,27136,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,8500,39,2006285,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5200,3,72774,2,1,0,2,2,2,1,2,2,1,0,1,0,1,0,1,0
2000,7900,91,669770,31,23,8,31,31,21,18,21,21,0,1,1,0,0,1,1,0
500,5900,66,1361,20,2,9,20,20,2,1,2,2,1,0,1,0,1,0,1,0
500,7400,39,428610,7,0,1,7,7,4,0,4,4,1,0,1,0,1,0,1,0
2000,7600,119,478691,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,108,975913,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,59,438753,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,106,442044,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6500,13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,92,517764,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8200,79,5417231,134,11,79,134,134,28,5,28,28,1,0,1,0,1,0,1,0
500,6900,8,439801,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8100,135,380699,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8000,70,30069,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6300,37,1007988,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8500,77,503093,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,27,370537,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
8000,8500,125,2408730,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,6400,76,0,10,5,5,10,10,5,5,5,5,1,0,1,0,1,0,1,0
500,6700,67,335300,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,58,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6500,51,16442,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6800,95,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7200,35,924460,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,5100,50,25777,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,4500,60,561128,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5800,72,118199,50,8,17,50,50,34,4,34,34,0,1,1,0,1,0,1,0
2000,7000,67,70234,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,5600,99,635484,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4700,11,98168,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,65,48840,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,9200,132,725087,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,4900,51,0,40,6,15,40,40,13,1,13,13,1,0,1,0,1,0,1,0
2000,8300,76,1238684,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2000,7600,45,820707,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,58,7701,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6700,33,779723,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,7500,125,518565,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,70,11971,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8500,111,326799,55,23,11,55,55,43,21,43,43,0,1,1,0,0,1,1,0
500,6900,59,598947,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,64,151404,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7500,82,367178,26,9,10,26,26,15,5,15,15,1,0,1,0,1,0,1,0
2000,8000,92,664717,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,60,67691,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7700,49,910668,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,3700,7,128209,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7100,34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,66,18034,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4600,60,631652,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,36,483256,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,60,242444,6,0,2,6,6,1,0,1,1,1,0,1,0,1,0,1,0
500,6700,104,335300,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,5800,59,7701,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,68,910668,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8000,89,860321,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,8700,85,28164,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,138,373658,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3000,7400,72,622980,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,8,934,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,4700,11,224077,88,8,63,88,88,7,1,7,7,1,0,1,0,1,0,1,0
500,7900,118,1073298,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8600,115,1348716,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,5300,39,73152,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9500,166,1784743,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,6100,12,166048,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6500,3,194305,5,1,2,5,5,2,1,2,2,1,0,1,0,1,0,1,0
500,6600,100,388256,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4400,84,108948,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6600,47,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8800,104,1247336,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,7000,87,37215,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,62,940341,34,10,8,34,34,20,8,20,20,0,1,1,0,1,0,1,0
500,8100,67,40535,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,79,631407,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,9000,185,744808,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,8100,55,1503860,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,5400,36,37394,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8800,126,649910,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,30,220062,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4800,11,75453,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6700,117,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7500,58,360652,8,2,2,8,8,4,2,4,4,1,0,1,0,1,0,1,0
8000,9400,142,2363963,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
500,6500,54,94125,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7400,46,228284,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4900,59,12871,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5400,91,214370,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,3500,5,22501,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,89,397585,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7900,97,352519,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,5900,44,373752,42,1,23,42,42,22,0,22,22,1,0,1,0,1,0,1,0
500,8600,84,114820,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,92,305595,26,9,12,26,26,22,8,22,22,1,0,1,0,1,0,1,0
500,6100,5,227165,13,1,8,13,13,2,0,2,2,1,0,1,0,1,0,1,0
2000,8300,77,1503860,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,6400,100,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
6000,9000,136,2180621,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
2000,7900,106,538747,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,9100,80,262738,15,3,4,15,15,7,2,7,7,1,0,1,0,1,0,1,0
500,8200,87,1815872,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,50,598947,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7700,57,1153618,38,0,17,38,38,14,0,14,14,1,0,1,0,1,0,1,0
500,7100,7,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0
500,6900,52,25475,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5700,50,77366,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,72,394304,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,7600,57,135646,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,3500,6,47904,42,2,37,42,42,5,0,5,5,1,0,1,0,1,0,1,0
500,6000,7,0,1,0,0,1,1,1,0,1,1,1,0,1,0,1,0,1,0
2000,8100,53,603869,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,13,685970,48,2,30,48,48,5,0,5,5,1,0,1,0,1,0,1,0
3000,8800,141,873287,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,66,312,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,16,64356,2,0,0,2,2,2,0,2,2,1,0,1,0,1,0,1,0
2000,7500,59,0,23,7,7,23,23,6,2,6,6,1,0,1,0,1,0,1,0
500,4000,18,114640,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6000,18,299523,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7900,81,123327,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,70,381,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,5900,94,317271,6,2,2,6,6,4,2,4,4,1,0,1,0,1,0,1,0
13000,9300,156,922361,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,5100,30,308925,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5300,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5000,8,180029,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5400,83,540020,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,49,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,34,19555,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,50,87643,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4800,67,315645,46,1,36,46,46,7,1,7,7,1,0,1,0,1,0,1,0
6000,7500,61,257699,37,13,4,37,37,27,10,27,27,1,0,1,0,1,0,1,0
500,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
6000,8300,49,411958,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5200,68,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,39,0,2,1,1,2,2,1,1,1,1,0,1,1,0,0,1,1,0
500,7000,30,22522,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8600,56,114820,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7000,61,513190,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,49,18034,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8300,69,14306,8,4,3,8,8,2,2,2,2,1,0,1,0,1,0,1,0
500,5700,29,8895,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,119,241135,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8700,128,1749217,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3000,9200,80,922361,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,6200,47,4315,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6000,5,152120,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6300,83,334974,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,27,6274,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8100,111,670440,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,48,6274,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6200,59,746269,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,7100,94,123467,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,89,90686,33,10,17,33,33,19,7,19,19,1,0,1,0,1,0,1,0
500,7600,71,4538,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8200,77,242674,31,4,13,31,31,9,2,9,9,1,0,1,0,1,0,1,0
500,8300,101,673497,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5400,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,38,391657,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,50,55958,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,93,341566,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,8100,73,883301,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7400,33,0,4,3,2,4,4,1,0,1,1,1,0,1,0,1,0,1,0
2000,5700,42,181085,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8900,110,674410,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,39,513282,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6200,30,84124,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,39,0,6,2,0,6,6,6,2,6,6,1,0,1,0,1,0,1,0
500,7200,39,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,65,0,25,15,4,25,25,13,6,13,13,1,0,1,0,1,0,1,0
500,6100,11,221857,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,54,9772,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
11000,8600,137,4365238,204,73,39,204,204,83,46,83,83,0,1,1,0,0,1,1,0
500,5400,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8300,72,304545,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
3000,8500,103,169907,54,20,21,54,54,42,16,42,42,0,1,1,0,1,0,1,0
500,8000,45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5200,7,86725,5,3,0,5,5,3,2,3,3,1,0,1,0,1,0,1,0
500,8400,10,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,8,327421,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,49,95291,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,73,398306,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
500,6900,28,67486,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,26,0,6,4,3,6,6,1,0,1,1,1,0,1,0,1,0,1,0
500,4300,38,367328,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6600,49,84124,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5700,7,176797,3,0,0,3,3,3,0,3,3,1,0,1,0,1,0,1,0
500,3800,17,191088,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8000,71,1164838,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8800,93,1834182,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,8800,34,28203,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6300,11,74602,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5800,59,0,49,7,10,49,49,9,2,9,9,1,0,1,0,1,0,1,0
500,6300,5,22239,4,1,1,4,4,3,1,3,3,1,0,1,0,1,0,1,0
500,5400,3,144712,2,0,0,2,2,2,0,2,2,1,0,1,0,1,0,1,0
2000,8000,77,385852,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,43,232964,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9100,143,582649,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,7600,71,228284,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,66,148530,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8400,136,1345876,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
3000,7000,64,437694,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,10,152120,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5900,26,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7800,58,25120,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8700,74,222511,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6000,31,55669,37,15,12,37,37,19,10,19,19,1,0,1,0,1,0,1,0
2000,8400,93,1616915,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,48,513282,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
8000,9600,146,2479325,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
500,8300,126,639700,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6100,86,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,44,1014891,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6400,43,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0
2000,7700,71,1153618,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,9000,96,1329383,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,2800,51,233505,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4600,44,487737,29,1,13,29,29,11,1,11,11,1,0,1,0,1,0,1,0
500,4800,5,37066,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,88,240488,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6500,93,62744,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,64,91439,10,3,2,10,10,5,3,5,5,1,0,1,0,1,0,1,0
500,7800,87,2241,3,1,0,3,3,2,1,2,2,1,0,1,0,1,0,1,0
500,6700,19,67486,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7200,73,20658,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7500,67,2330,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7900,64,145077,47,4,24,47,47,12,3,12,12,1,0,1,0,1,0,0,1
2000,8800,55,16504,26,11,13,26,26,9,5,9,9,1,0,1,0,1,0,1,0
500,7700,88,537923,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,5400,17,64356,2,0,0,2,2,2,0,2,2,1,0,1,0,1,0,1,0
500,6300,51,195081,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4300,4,180029,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,67,121700,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7100,80,121700,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
5000,8100,135,451502,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
2000,7800,57,12461,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,6100,27,459861,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
2000,7100,45,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4600,45,92257,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4000,30,396868,10,2,4,10,10,6,2,6,6,1,0,1,0,1,0,1,0
500,6900,48,204611,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8500,97,648530,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8200,55,467424,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,31,688576,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,9200,113,752566,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
3000,8700,78,1172663,34,14,17,34,34,9,6,9,9,1,0,1,0,1,0,1,0
6000,9700,112,2089715,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0
3000,8600,113,850081,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7700,82,241135,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6000,46,398306,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,8100,29,72764,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
3000,7000,39,779723,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1
500,6700,82,0,26,15,4,26,26,13,6,13,13,1,0,1,0,1,0,1,0
500,7500,59,769387,34,12,14,34,34,15,9,15,15,0,1,1,0,1,0,1,0
5000,7400,66,1242470,99,10,48,99,99,28,6,28,28,1,0,1,0,1,0,1,0
3000,8100,98,506824,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0
500,8400,72,3030132,89,22,30,89,89,61,17,61,61,1,0,1,0,1,0,0,1
500,6100,112,49260,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,3200,49,0,49,1,37,49,49,6,0,6,6,1,0,1,0,1,0,1,0
2000,7400,40,115259,2,0,0,2,2,2,0,2,2,1,0,1,0,1,0,1,0
2000,8200,103,907724,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6900,22,76488,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,8600,89,1006612,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7000,86,70234,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,6800,49,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8500,107,793713,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,8300,26,534158,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,7600,73,74139,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,4800,77,25811,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7100,60,924460,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,1600,13,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
500,7300,85,546056,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5500,76,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5400,37,331563,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
500,5400,56,564834,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
2000,7400,60,94900,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0
